smartfusion2,0.5300279784250204
som,0.4727949103321778
rev,0.31353767737818106
output,0.27062578084701094
input,0.2630558289352064
pin,0.22644387810646407
3a,0.14183847309965333
power,0.13686168456984094
mode,0.09455898206643555
1a,0.09207058780152937
devic,0.08137698305189839
2a,0.07962861647699837
low,0.07962861647699837
system,0.07714022221209216
interfac,0.07569951911804501
ethernet,0.07465182794718596
emcraft,0.07216343368227977
reset,0.07191454316214277
connect,0.06967503941737357
fpga,0.06469825088756118
hardwar,0.06466617250584396
mss,0.05972146235774877
signal,0.05878742955076723
architectur,0.05731774381199805
connector,0.05298966338263151
modul,0.05290868659569051
gpio,0.05225627956303018
clock,0.04920468742672925
softwar,0.04731219944877813
net,0.044791096768311583
27,0.04409057216307542
flash,0.042302702503405384
version,0.041151200685537064
use,0.038211829207998704
jtag,0.03732591397359298
serial,0.035957271581071384
configur,0.03406478360312025
libero,0.03234912544378059
control,0.03233308625292198
provid,0.03233308625292198
type,0.030863400514152796
activ,0.030279807647218004
sdram,0.029860731178874386
12,0.029393714775383616
board,0.02838731966926688
m3,0.027372336913968186
mm,0.027372336913968186
data,0.026494831691315755
10,0.024984657559076074
note,0.024984657559076074
baseboard,0.02488394264906199
cortex,0.02488394264906199
program,0.02488394264906199
project,0.02488394264906199
spi,0.02488394264906199
run,0.024602343713364627
14,0.022709855735413502
wdt,0.022395548384155792
extern,0.020817367757462377
integr,0.020817367757462377
oper,0.020817367757462377
descript,0.020575600342768532
follow,0.020575600342768532
100,0.019907154119249593
chip,0.019907154119249593
custom,0.019907154119249593
gnd,0.019907154119249593
link,0.019907154119249593
microsemi,0.019907154119249593
phi,0.019907154119249593
soc,0.019907154119249593
status,0.019907154119249593
switch,0.019907154119249593
design,0.019105914603999352
p2,0.018924879779511253
select,0.01763622886523017
golden,0.017418759854343394
mhz,0.017418759854343394
ohm,0.017418759854343394
spi1,0.017418759854343394
file,0.017032391801560125
function,0.01616654312646099
80,0.014930365589437193
differenti,0.014930365589437193
flashpro,0.014930365589437193
mechan,0.014930365589437193
rate,0.014930365589437193
revis,0.014930365589437193
refer,0.014696857387691808
25,0.013247415845657877
intend,0.013247415845657877
suppli,0.013247415845657877
11,0.013227171648922627
tabl,0.013227171648922627
33,0.012441971324530995
64,0.012441971324530995
consol,0.012441971324530995
expect,0.012441971324530995
instal,0.012441971324530995
ip,0.012441971324530995
